"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"79","선짓국(선지해장국)","국 및 탕류","육류국.탕","600","173.84","7.39","23.18","5.73","0","1874.43"
"80","설렁탕","국 및 탕류","육류국.탕","500","118.37","1.8","21.3","2.88","0","109.78"
"81","쇠고기무국","국 및 탕류","육류국.탕","400","61.53","4.38","5.3","2.54","0","662"
"82","쇠고기미역국","국 및 탕류","육류국.탕","400","52.03","3.28","7.42","1.03","2.08","782.02"
"83","쇠고기배춧국","국 및 탕류","육류국.탕","400","62.29","4.57","7.34","1.63","0","990.69"
"84","순댓국","국 및 탕류","육류국.탕","600","509.46","89.71","14.1","10.47","1.58","1981.58"
"85","순두부달걀탕","국 및 탕류","기타 국류","350","102.39","3.29","6.23","7.14","0","354.96"
"86","시금치된장국","국 및 탕류","채소류국.탕","400","37.98","3.91","4.07","0.67","0.44","495.32"
"87","쑥된장국","국 및 탕류","채소류국.탕","400","60.64","6.08","4.88","1.87","2.92","970.74"
"88","아욱된장국","국 및 탕류","채소류국.탕","400","81.83","6.34","9.1","2.23","0.44","944.34"
"89","애호박된장국","국 및 탕류","채소류국.탕","400","122.91","5.62","13.35","5.23","1.97","1806.32"
